This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
f5ad1a25633b523fe2ce68e9731f61bde852076eec1ae4697aa8ba8b6ec92a90 15 14 41087 503
611714445632e8d9e7f302eec3ebcfac35eba57eb6ef744112d098400584b36a 66 52 2288 700
8983cb221ffd3301a6e50db5da3c5104bcb70e79e3261107268405a3dc8c522c 9 5 22 83
726ed9d9195a604069cc1f3e9e7e723db27b91fe9d08b3809e41e9ea86658353 48 26 12498 2745
a12f5e8a6b03d32fd55b1d9cb9e0b8afe1861c0b07c2606960fc7c3de5e8c152 5 4 18701 397
ec069b23c642bd18ab190b3f908f96f5c8195c64af5ae4a9a3dbcfa958f9e1b1 1 1 18129 0
8c86eb1befc0262cfe2c56d4517d555aea360e40a8ab096840b342c39b986a56 2 2 270 21
43df697887bbc450b7b9289edcbeffb690d6ef621060dc47282d48e071f07375 4 3 25316 965
eaa53a9cbfda7e5c91a9f21b1b972574e19a275e9f8e634802c731f9341c5c05 125 110 89771 36410
d2f00b67be5b26ff0e282b750cae75b02e20975fe3f1cb0cd9e5841e0e782547 1 1 1202439 0
ac6f90d4774b605cebf74d762e6abe6b7e605a93600a74439310b9b998f41619 54 34 5631 1447
4628a66922bc77dea019748a2c017bfef27cb106554deca8b859001cb17e4710 11 10 263 40
59ffb29e548e421a1605e82d0a2d0f5f6b242bffdefb99b8820b393a3826501a 61 2 18 17
3fc5ef0ff4fe22e3da30d35d1aa1215fad39eefe05987a20d852a23189d76469 5 4 11115 213
a6b4b7b3137b6b5f15ad2dc587216aa6d9554c2c70844c6d838334c854b8a109 3 3 8817 180
c6227e53e9240f86f982e4dcac9bf7942025232a8f890a5056032531f3969917 1 1 17 0
e4c9d5469139c4a706bb78f90b3bda8f236f2545cfc778719fbfc22c3438bbb2 2 2 4318 0
07021bbb79a9ed41a17d245a37864ce5f9e33accce4fc7592ac8630cbb0de1c7 2 2 92043 9
73958f9a75445af0c0e2b1eb58375e612b7f4d4eede746cae100eeaf200ce698 2 2 422026 34
ad6f58ee699f9771e86fd569d668f507441197dfb52692f1f4d1ea5f49025628 3 3 299877 28
c573f90f056e5a3a3cec1674d673d9909230f642ee06b5dc333d6def4f278c1a 3 3 7923 138
2ef1e0cd9ed398694cb5793d1ea6d74767df4e8985e2ada858a14cc9c0ad3d0a 22 22 16846 8439
b0d14db028635129fc4a37db6fd16b425b7d6a2c1841351367f9c34e449b817c 20 19 12164 576
7b1c99b08354a9936eb17853f96559e28a6089bf2d7d0ba277f4801861fc8d40 1 1 561 0
9d62f2e0833b4c82eaaf0b40557fc2de1df3b0ab50ac1bbc5e647fe59acde8d2 4 4 613 2
331f01e43035290e2e93b5963516606c5b58c2e55ed6b26a2e263cf1a558f4c5 22 15 28249 4515
9e372108614b743c8f47df69c776c0b4bccd92bbd789acba871edc532a6683d8 12 8 3014 431
179ccf8ecb441739ddd8b8ee97ae751a887f5638077b43831145af7c5464c840 14 0 0 0
61a637dad73482d7e37b54f43aaebf6277dbcacd5a06225564c165b87aa33bb8 16 16 16156 2426
9b71aee3f5988e07c7c1a23a1fa5b9052f15885adf869ae950b2a8d0c7cc4010 17 17 6492 187
8c4f6799aab356b9ac50a52d65606e80cab7fbc8e5d43ad3024da1112067a43a 5 5 16053 609
e9bf4b71c7174888ac0045bd2b790c856a8358a27d769f7057f21d308a286a2d 8 0 0 0
d184c0ab404f0372da9c8b01650fdfcc3a71fff97732ddaa43511381929deade 8 2 1174 566
27a8807ed2cc67d07a4c40191b4288773bdfef336b897b9d95d4c399c50f6585 49 48 9420 920
edc3184968ba387cb4f76c97f9cd29f39f96f01176076c2fe98e4910a4c32393 3 0 0 0
7c88801ee28aea88819493486a241fc28b368d47dbc19504979999519c7e0c4b 2 2 102 0
cfd2a2c912b4921ef73b2956934a25a7d39b6a09b7f42d99b3c0f6e195d369a5 419 167 94020 72921
de82d793493dbe97b1dc182cecfe16c0b403111aa843418b4134a6a3f96551d3 30 30 8555 3056
98e68c05a47a52c21fc701b93de59d22923212f8fb5a6fd35d2e2a82611552d2 1 1 1 0
12c4d451594b5f01d5d92160cf21c9c3dc04da785f88c4196de0656595cb7cee 16 0 0 0
d9a2d913b248996161327f67347ef5e102ad410302d361cde34a9777c1bf069f 5 5 644 68
0df31c7644b718a62145af20b7df1a70f357929bb5e45acdf1fb5de29aa9c5ca 121 121 912588 30575
4d90d11ef10dd1a70e98ee30fdbd69360346f62a9c5d05a14cf5c765fd8b6aae 11 11 8606 730
b2f93fb7e0c1c46a6a543765e3e4b014ec1b7117810c03517b0b409e8139fc26 3 3 163 15
2711f3901c3de8be65b6102bebf84cb4756e401fa4ded5a203ffae1f8853acd8 1 1 122 0
b007ce9c5c2888437a4be44b023c76519c450682c9c03c5185054f60419cc4fa 3 3 189 5
b24c88f4e4d804d4ab91222d50334d99b5ad6acc7b6933f49385798decfe23bf 1 1 58 0
d6cef57c72d6227399fdbf9f79b519f4565d7d23d3a1f7a57fe2d374fb3014ed 2 2 18233 0
9018c9ff3d53b75657f74554d6ac13200346478146811f6a4c4fb962c790727a 821 0 0 0
8ead6079efb78e1f3cce46d7e6159953e96b9d9d14e0b82f27ee30bea1fa66ba 4 4 52309 28
1a38083d33983560d748efa6398c0e3624948f96af1dffecb4feece3f0c5b0ff 6 6 12219 641
